Species,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Acadian flycatcher,,,,,,,,,1,,,,,
American crow,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American goldfinch,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American robin,1,1,1,1,1,,,,1,,,,,1
barred owl,,,,,,,,1,,,,,1,
black-and-white warbler,,,,,,,,,,,,,1,
blue jay,1,1,1,1,1,1,1,1,1,1,1,1,1,1
blue-gray gnatcatcher,1,1,1,1,1,1,1,1,1,1,1,1,1,1
blue-headed vireo,,,,,,,1,1,1,1,,1,1,
brown thrasher,1,,,1,,,,1,,,,,,
brown-headed cowbird,1,1,1,1,1,1,1,1,1,1,1,1,1,1
brown-headed nuthatch,1,,1,1,1,1,1,1,,,1,1,,1
Canada goose,1,1,,1,,1,1,,1,,,,1,1
Carolina chickadee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carolina wren,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cedar waxwing,,,,,,1,,,,,,1,,1
chimney swift,,,,,,,1,,,,,,,
chipping sparrow,,,1,1,,1,,,,,,,,
common grackle,1,,,1,1,,,1,1,,,1,,
common yellowthroat,,,1,,1,1,,1,,1,1,1,,
Cooper's hawk,,,1,,1,,,,,,,,,
dark-eyed junco,,,,,1,1,1,,,1,1,,,
downy woodpecker,,1,,,1,,1,,1,1,,1,1,1
eastern bluebird,,,1,,,,,,1,1,,1,,
eastern kingbird,,,,,,,,,,,,,,1
eastern meadowlark,1,,,,,,,,,,,,,
eastern phoebe,,,1,,,,,,,1,,,1,
eastern towhee,1,1,1,1,1,1,1,1,,1,1,1,1,
field sparrow,,,1,1,,,,,,,,,,
fish crow,,,,,,,,,,,,1,,
gray catbird,,,,,,,,,1,,,,,
great blue heron,,,,,,,,1,,,,,,
great-crested flycatcher,,,,,,,,,,,,,,1
hairy woodpecker,,,,,,,,,1,1,,,1,1
house finch,,1,,,,,,,1,1,,,1,
house wren,,,,,,,,,,,,,1,
indigo bunting,,,,,,,,1,,,,,,
mourning dove,1,,,1,1,,1,1,1,1,1,1,1,1
northern cardinal,1,1,1,1,1,1,1,1,1,1,1,1,1,1
northern flicker,,1,,,,,,,,,,,,
northern mockingbird,,1,1,,,,,,,,1,,,
northern parula,,,,,,,,,,,,,,1
orange-crowned warbler,,,,,,,,,1,,,,,
ovenbird,1,,1,1,1,1,1,1,1,1,1,1,1,1
pileated woodpecker,,,,,,,,,,,1,,,
pine warbler,1,1,,,1,1,1,1,1,1,1,1,1,1
red-bellied woodpecker,1,1,1,1,1,1,1,1,1,1,1,1,1,1
red-breasted nuthatch,,,,,,,,,1,,1,,,
red-eyed vireo,,,1,1,1,1,1,,1,1,1,,1,1
red-shouldered hawk,,,1,,,,1,1,,,1,1,1,1
red-tailed hawk,1,,,,,,,1,,,,,,
ruby-crowned kinglet,1,,1,,1,1,1,1,,,1,1,1,
song sparrow,,,,,,1,,,1,,,,,
summer tanager,,,,,,,,,,,1,,,1
tufted titmouse,1,1,1,1,1,1,1,1,1,1,1,1,1,1
turkey vulture,,,,,,1,,,,,,,,
warbling vireo,,,,,,,,,1,,,,,
white-breasted nuthatch,,1,1,,1,1,,,1,,1,1,,
white-eyed vireo,,,,,,1,,,,,1,1,1,1
white-throated sparrow,1,1,,1,1,1,1,1,1,1,1,1,1,1
wild turkey,,,,,,,,,,1,,,,
wood thrush,1,,,1,,1,,1,1,1,1,1,,
yellow warbler,,,,,,,,,1,,,,,
yellow-rumped warbler,1,1,1,1,1,1,1,,1,1,1,1,1,1