Date,Opponenet,Location,Result,Points_KC,Points_Opp,Swift_Attend,Receptions,Rec_Targets,Rec_Yards,Yards_Per_Reception,Rec_TDs,Rec_Long
12/31/23,Bengals,home,W,25,17,Yes,3,4,16,5.3,0,10
12/25/23,Raiders,home,L,14,20,Yes,5,7,44,8.8,0,24
12/17/23,Patriots,away,W,27,17,Yes,5,7,28,5.6,0,11
12/10/23,Bills,home,L,17,20,Yes,6,10,83,13.8,0,23
12/3/23,Packers,away,L,19,27,Yes,4,5,81,20.3,0,27
11/26/23,Raiders,away,W,31,17,No,6,7,91,15.2,0,27
11/20/23,Eagles,home,L,17,21,No,7,9,44,6.3,1,13
11/5/23,Dophins,Germany,W,21,14,No,3,4,14,4.7,0,7
10/29/23,Broncos,away,L,9,24,No,6,9,58,9.7,0,19
10/22/23,Chargers,home,W,31,17,Yes,12,13,179,14.9,1,53
10/12/23,Broncos,home,W,19,8,Yes,9,9,124,13.8,0,40
10/8/23,Vikings,away ,W,27,20,No,10,11,67,6.7,1,14
10/1/23,Jets,away,W,23,20,Yes,6,9,60,10,0,16
9/24/23,Bears,home,W,41,10,Yes,7,8,69,9.9,1,24
9/17/23,Jaguars,away,W,17,9,No,4,9,26,6.5,1,9