Year,Species,Fledged
2012,Eastern Bluebird,20
2012,Carolina Chickadee,6
2012,House Wren,0
2013,Eastern Bluebird,20
2013,Carolina Chickadee,13
2013,House Wren,0
2014,Eastern Bluebird,27
2014,Carolina Chickadee,3
2014,House Wren,0
2015,Eastern Bluebird,18
2015,Carolina Chickadee,7
2015,House Wren,0
2016,Eastern Bluebird,19
2016,Carolina Chickadee,6
2016,House Wren,0
2017,Eastern Bluebird,3
2017,Carolina Chickadee,9
2017,House Wren,11
2018,Eastern Bluebird,16
2018,Carolina Chickadee,12
2018,House Wren,5
2019,Eastern Bluebird,8
2019,Carolina Chickadee,0
2019,House Wren,4
2020,Eastern Bluebird,
2020,Carolina Chickadee,
2020,House Wren,
2021,Eastern Bluebird,5
2021,Carolina Chickadee,0
2021,House Wren,5
2022,Eastern Bluebird,17
2022,Carolina Chickadee,4
2022,House Wren,3
2023,Eastern Bluebird,13
2023,Carolina Chickadee,14
2023,House Wren,9